Product Title,Price,Ratings,Number of Reviews,Prime Eligibility,Product URL,Sizes
"Scott International Shirt for Men, Solid Full Sleeves Shirt, Wrinkle Free Mens Shirts, Cotton Formal Shirts, Regular Fit Stylish Mens Shirt, Plain Formal Shirts for Men",749,3.8 out of 5 stars,602 ratings,No,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjA3MTQ0MTA2OTM3NjMxOjE3NTA3NzM4Njk6c3BfYXRmOjMwMDE3NjkzMTkzMjgzMjo6MDo6&url=%2FScott-International-Sleeves-Wrinkle-Regular%2Fdp%2FB0D2RGNN83%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9._5cCtx9yndgbPS-ZCqJoIceaGZVCs2x-X1j1NC5nIMR_-kLsXMIIIhpnlztn23rvji9QSdabrajpWu48MBNRqb3gAzCFMhm8wV5ZJmHJSfFHcc2HfpiM-DTUI0ZYJpbvAW7j62xR17XfI8WoNr8qZb6gfD-5VQ6KQW7hhEHXdrVXgcd0qvPqswbWZLKFG01-DVp4uZX1GSg67bzK5BS9cs8ErEFxwIlAcymmaF_cZ1MYWFedvEnLF-Zl6N_EpItSH40abjD36VVUK1dXjWRKSZBGnbgPBFLvTdy0jitwg9s.IZP96IJwUiQha3MjgBrJRFkIYpLHcqS4ZkowZhC0XH8%26dib_tag%3Dse%26keywords%3DShirts%26qid%3D1750773869%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&cr=ZAZ#customerReviews,"['S', 'M', 'L', 'XL', '2XL', '3XL']"
U.S. POLO ASSN. Cotton Men's Slim Fit Casual Style Shirt,"1,771",4.1 out of 5 stars,107 ratings,No,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjA3MTQ0MTA2OTM3NjMxOjE3NTA3NzM4Njk6c3BfYXRmOjMwMDU1MjI1MjQzNDUzMjo6MDo6&url=%2FU-S-Polo-Assn-Solid-USOEN1SH25_Navy%2Fdp%2FB0C4P1DRR1%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9._5cCtx9yndgbPS-ZCqJoIceaGZVCs2x-X1j1NC5nIMR_-kLsXMIIIhpnlztn23rvji9QSdabrajpWu48MBNRqb3gAzCFMhm8wV5ZJmHJSfFHcc2HfpiM-DTUI0ZYJpbvAW7j62xR17XfI8WoNr8qZb6gfD-5VQ6KQW7hhEHXdrVXgcd0qvPqswbWZLKFG01-DVp4uZX1GSg67bzK5BS9cs8ErEFxwIlAcymmaF_cZ1MYWFedvEnLF-Zl6N_EpItSH40abjD36VVUK1dXjWRKSZBGnbgPBFLvTdy0jitwg9s.IZP96IJwUiQha3MjgBrJRFkIYpLHcqS4ZkowZhC0XH8%26dib_tag%3Dse%26keywords%3DShirts%26qid%3D1750773869%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&cr=ZAZ#customerReviews,"['S', 'M', 'L', 'XL', '2XL', '3XL']"
U.S. POLO ASSN. Men's Solid Spread Collar Premium Cotton Oxford Tailored Fit Shirt,"1,319",4.1 out of 5 stars,467 ratings,No,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjA3MTQ0MTA2OTM3NjMxOjE3NTA3NzM4Njk6c3BfYXRmOjMwMDU3NjI1MTYzMDQzMjo6MDo6&url=%2FU-S-POLO-ASSN-Spread-Collar%2Fdp%2FB0BCX3DKL1%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9._5cCtx9yndgbPS-ZCqJoIceaGZVCs2x-X1j1NC5nIMR_-kLsXMIIIhpnlztn23rvji9QSdabrajpWu48MBNRqb3gAzCFMhm8wV5ZJmHJSfFHcc2HfpiM-DTUI0ZYJpbvAW7j62xR17XfI8WoNr8qZb6gfD-5VQ6KQW7hhEHXdrVXgcd0qvPqswbWZLKFG01-DVp4uZX1GSg67bzK5BS9cs8ErEFxwIlAcymmaF_cZ1MYWFedvEnLF-Zl6N_EpItSH40abjD36VVUK1dXjWRKSZBGnbgPBFLvTdy0jitwg9s.IZP96IJwUiQha3MjgBrJRFkIYpLHcqS4ZkowZhC0XH8%26dib_tag%3Dse%26keywords%3DShirts%26qid%3D1750773869%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&cr=ZAZ#customerReviews,"['S', 'M', 'L', 'XL', '2XL']"
U.S. Polo Assn Men's Cotton Tailored Fit. Oxford Stretch Spread Collar Casual Shirt,"2,499",3.5 out of 5 stars,38 ratings,No,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjA3MTQ0MTA2OTM3NjMxOjE3NTA3NzM4Njk6c3BfYXRmOjMwMDU3NjcyMDE0OTEzMjo6MDo6&url=%2FU-S-POLO-ASSN-Tailored-USSHTC0047_Olive_M%2Fdp%2FB09PFW1Z7H%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9._5cCtx9yndgbPS-ZCqJoIceaGZVCs2x-X1j1NC5nIMR_-kLsXMIIIhpnlztn23rvji9QSdabrajpWu48MBNRqb3gAzCFMhm8wV5ZJmHJSfFHcc2HfpiM-DTUI0ZYJpbvAW7j62xR17XfI8WoNr8qZb6gfD-5VQ6KQW7hhEHXdrVXgcd0qvPqswbWZLKFG01-DVp4uZX1GSg67bzK5BS9cs8ErEFxwIlAcymmaF_cZ1MYWFedvEnLF-Zl6N_EpItSH40abjD36VVUK1dXjWRKSZBGnbgPBFLvTdy0jitwg9s.IZP96IJwUiQha3MjgBrJRFkIYpLHcqS4ZkowZhC0XH8%26dib_tag%3Dse%26keywords%3DShirts%26qid%3D1750773869%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&cr=ZAZ#customerReviews,"['S', 'M', 'L', 'XL', '2XL', '3XL', '4XL', '5XL']"
DEELMO Men's Cotton Blend Mandarin Collar Self One Design Full Sleeve Casual Short Kurta,494,3.4 out of 5 stars,"1,388 ratings",No,https://www.amazon.in/DEELMO-Geometric-Regular-MON321_CHIKU_Down-Round_Print_40_Beige/dp/B0CNM4R13B/ref=sr_1_5?dib=eyJ2IjoiMSJ9._5cCtx9yndgbPS-ZCqJoIceaGZVCs2x-X1j1NC5nIMR_-kLsXMIIIhpnlztn23rvji9QSdabrajpWu48MBNRqb3gAzCFMhm8wV5ZJmHJSfFHcc2HfpiM-DTUI0ZYJpbvAW7j62xR17XfI8WoNr8qZb6gfD-5VQ6KQW7hhEHXdrVXgcd0qvPqswbWZLKFG01-DVp4uZX1GSg67bzK5BS9cs8ErEFxwIlAcymmaF_cZ1MYWFedvEnLF-Zl6N_EpItSH40abjD36VVUK1dXjWRKSZBGnbgPBFLvTdy0jitwg9s.IZP96IJwUiQha3MjgBrJRFkIYpLHcqS4ZkowZhC0XH8&dib_tag=se&keywords=Shirts&qid=1750773869&sr=8-5#customerReviews,"['S', 'M', 'L', 'XL', '2XL']"
TAGDO Men's Regular Fit Casual Shirt (5171),389,4.0 out of 5 stars,"1,005 ratings",No,https://www.amazon.in/TAGDO-Regular-Casual-Shirt-Popcorn-5171-Cream-XL/dp/B0CYQ9RNP1/ref=sr_1_6?dib=eyJ2IjoiMSJ9._5cCtx9yndgbPS-ZCqJoIceaGZVCs2x-X1j1NC5nIMR_-kLsXMIIIhpnlztn23rvji9QSdabrajpWu48MBNRqb3gAzCFMhm8wV5ZJmHJSfFHcc2HfpiM-DTUI0ZYJpbvAW7j62xR17XfI8WoNr8qZb6gfD-5VQ6KQW7hhEHXdrVXgcd0qvPqswbWZLKFG01-DVp4uZX1GSg67bzK5BS9cs8ErEFxwIlAcymmaF_cZ1MYWFedvEnLF-Zl6N_EpItSH40abjD36VVUK1dXjWRKSZBGnbgPBFLvTdy0jitwg9s.IZP96IJwUiQha3MjgBrJRFkIYpLHcqS4ZkowZhC0XH8&dib_tag=se&keywords=Shirts&qid=1750773869&sr=8-6#customerReviews,"['S', 'M', 'L', 'XL', '2XL']"
CB-COLEBROOK Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirts,499,3.8 out of 5 stars,"1,597 ratings",No,https://www.amazon.in/CB-COLEBROOK-Casual-Button-Fashion-Textured/dp/B0D77N88Q3/ref=sr_1_7?dib=eyJ2IjoiMSJ9._5cCtx9yndgbPS-ZCqJoIceaGZVCs2x-X1j1NC5nIMR_-kLsXMIIIhpnlztn23rvji9QSdabrajpWu48MBNRqb3gAzCFMhm8wV5ZJmHJSfFHcc2HfpiM-DTUI0ZYJpbvAW7j62xR17XfI8WoNr8qZb6gfD-5VQ6KQW7hhEHXdrVXgcd0qvPqswbWZLKFG01-DVp4uZX1GSg67bzK5BS9cs8ErEFxwIlAcymmaF_cZ1MYWFedvEnLF-Zl6N_EpItSH40abjD36VVUK1dXjWRKSZBGnbgPBFLvTdy0jitwg9s.IZP96IJwUiQha3MjgBrJRFkIYpLHcqS4ZkowZhC0XH8&dib_tag=se&keywords=Shirts&qid=1750773869&sr=8-7#customerReviews,"['S', 'M', 'L', 'XL', '2XL']"
U.S. POLO ASSN. Men's Cotton Regular Fit Shirt,"1,563",4.0 out of 5 stars,583 ratings,No,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5NDg0MTE3MzA2Njk4NTU6MTc1MDc3Mzg2OTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNDc5MDczOTE5MDMyOjowOjo&url=%2FU-S-POLO-ASSN-Regular-USSHTFX0006_White%2Fdp%2FB0BJ287KHQ%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0ec29fff-e589-42c1-a226-6d7b30a9905a%253Aamzn1.sym.0ec29fff-e589-42c1-a226-6d7b30a9905a%26cv_ct_cx%3DShirts%26keywords%3DShirts%26pd_rd_i%3DB0BJ287KHQ%26pd_rd_r%3D4f8848ab-5eb3-4bf6-bd93-ca1f2e5b9a0e%26pd_rd_w%3D30NJP%26pd_rd_wg%3DWGYTV%26pf_rd_p%3D0ec29fff-e589-42c1-a226-6d7b30a9905a%26pf_rd_r%3DG7YZXG0AHATXH8PWMDN7%26qid%3D1750773869%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&cr=ZAZ#customerReviews,"['S', 'M', 'L', 'XL', '2XL']"
Thomas Scott Mens | Full Sleeve | Solid | Slim Fit | 100% Cotton | Button Down Collar | Shirts,709,4.0 out of 5 stars,347 ratings,No,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5NDg0MTE3MzA2Njk4NTU6MTc1MDc3Mzg2OTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMjU5MTgxNDc2OTMyOjoxOjo&url=%2FThomas-Scott-Casual-Button-Sleeve%2Fdp%2FB0C69QDSZN%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0ec29fff-e589-42c1-a226-6d7b30a9905a%253Aamzn1.sym.0ec29fff-e589-42c1-a226-6d7b30a9905a%26cv_ct_cx%3DShirts%26keywords%3DShirts%26pd_rd_i%3DB0C69QDSZN%26pd_rd_r%3D4f8848ab-5eb3-4bf6-bd93-ca1f2e5b9a0e%26pd_rd_w%3D30NJP%26pd_rd_wg%3DWGYTV%26pf_rd_p%3D0ec29fff-e589-42c1-a226-6d7b30a9905a%26pf_rd_r%3DG7YZXG0AHATXH8PWMDN7%26qid%3D1750773869%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&cr=ZAZ#customerReviews,"['S', 'M', 'L', 'XL', '2XL', '3XL', '4XL', '5XL', '6XL']"
Amazon Brand - Symbol Men's Solid Cotton Formal Shirt | Plain | Full Sleeve - Regular Fit (Available in Plus Size and Combo Packs),599,4.0 out of 5 stars,"9,128 ratings",No,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5NDg0MTE3MzA2Njk4NTU6MTc1MDc3Mzg2OTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNDg2MzgxNTk4MDMyOjoyOjo&url=%2FAmazon-Brand-Symbol-Regular-SS20-SYM-FS-01_EPP-1A_Black%2Fdp%2FB085W5HYLB%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0ec29fff-e589-42c1-a226-6d7b30a9905a%253Aamzn1.sym.0ec29fff-e589-42c1-a226-6d7b30a9905a%26cv_ct_cx%3DShirts%26keywords%3DShirts%26pd_rd_i%3DB085W5HYLB%26pd_rd_r%3D4f8848ab-5eb3-4bf6-bd93-ca1f2e5b9a0e%26pd_rd_w%3D30NJP%26pd_rd_wg%3DWGYTV%26pf_rd_p%3D0ec29fff-e589-42c1-a226-6d7b30a9905a%26pf_rd_r%3DG7YZXG0AHATXH8PWMDN7%26qid%3D1750773869%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&cr=ZAZ#customerReviews,"['38', '39', '40', '42', '44', '46', '48', '50', '52', '54']"
