Title,Current Price,Original Price,Old Price,Product URL,Ratings,Number of Reviews,Last Seen,Price Dropped?
"HP Chromebook Intel Celeron Dual Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Chromebook  (14 Inch, Mineral Silver, 1.49 Kg)",17990,32295,17990,https://www.flipkart.com/hp-chromebook-intel-celeron-dual-core-n4120-4-gb-64-gb-emmc-storage-chrome-os-14a-ca0506tu/p/itmb2e03ff1f9366?pid=COMGBHKFAYHEMVAT&lid=LSTCOMGBHKFAYHEMVATTMWBVX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=en_t7BfAD8-Xt8AaKLP-oOSdwmttktSQqIP_z4bOE-mN49oCsHfIWPo6UTejCza8NYRSmmsZyue0rNxACuj6pbKYfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,3.9,155,2025-06-25,No
"ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X1504ZA-NJ520WS|X1504ZA-NJ528WS Thin and Light Laptop  (15.6 Inch, Quiet Blue, 1.7 Kg, With MS Office)",40799,69990,40799,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj521ws-x1504za-nj520ws-x1504za-nj528ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMHYWSWMFQQBCG3&lid=LSTCOMHYWSWMFQQBCG3ZA9JEY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=775d28b7-12ad-4022-a4b2-d16d268c4111.COMHYWSWMFQQBCG3.SEARCH&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,4.2,453,2025-06-25,No
"Lenovo 100e Chromebook Gen 4 MediaTek MediaTek Kompanio 528 - (4 GB/64 GB EMMC Storage/Chrome OS) 82W0001DHA Chromebook  (11.6 Inch, Graphite Grey, 1.23 Kg)",10499,37690,12499,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-528-4-gb-64-gb-emmc-storage-chrome-os-82w0001dha/p/itm37ef89935fcd5?pid=COMHA9FKZ7KSC3SZ&lid=LSTCOMHA9FKZ7KSC3SZ6YMQQQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_32&otracker=search&otracker1=search&fm=organic&iid=en_t7BfAD8-Xt8AaKLP-oOSdwmttktSQqIP_z4bOE-mN4-55TMz7Fv06jIJwB70cAdIcY8Ub0NMs3-kzPuQHjFEQvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,3.7,7,2025-06-25,Yes
"HP G9 Intel Core i3 13th Gen 1315U Turbo Boost with Finger Print - (16 GB/512 GB SSD/Windows 11 Pro) 250R G9 Business Laptop  (15.6 inch, Dark Ash, 1.5 kg, With MS Office)",33090,53990,35000,https://www.flipkart.com/hp-g9-intel-core-i3-13th-gen-1315u-turbo-boost-finger-print-16-gb-512-gb-ssd-windows-11-pro-250r-business-laptop/p/itmff5abac6385ed?pid=COMH7Z2FGDVU8DZT&lid=LSTCOMH7Z2FGDVU8DZTY8ST6K&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_33&otracker=search&otracker1=search&fm=organic&iid=775d28b7-12ad-4022-a4b2-d16d268c4111.COMH7Z2FGDVU8DZT.SEARCH&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,4,22,2025-06-25,No
,,,48990,https://www.flipkart.com/acer-aspire-lite-intel-core-i5-12th-gen-12450h-16-gb-1-tb-ssd-windows-11-home-al15-52h-thin-light-laptop/p/itmc262e2fa338ce?pid=COMH883AGRXJD8SB&lid=LSTCOMH883AGRXJD8SBYSNBXS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_34&otracker=search&otracker1=search&fm=organic&iid=775d28b7-12ad-4022-a4b2-d16d268c4111.COMH883AGRXJD8SB.SEARCH&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,,,2025-06-25,No
,,,51990,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-12th-gen-12450h-16-gb-1-tb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itmc63731ed924b8?pid=COMGVQ2YXAFDRBHQ&lid=LSTCOMGVQ2YXAFDRBHQVWVVAT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_35&otracker=search&otracker1=search&fm=organic&iid=775d28b7-12ad-4022-a4b2-d16d268c4111.COMGVQ2YXAFDRBHQ.SEARCH&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,,,2025-06-25,No
"ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) FA566NCR-HN075W Gaming Laptop  (15.6 inch, Graphite Black, 2.30 Kg)",64990,86990,64990,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fa566ncr-hn075w-laptop/p/itm10514ecd2a794?pid=COMHFT2NY5V7RCMK&lid=LSTCOMHFT2NY5V7RCMKJW0ZPL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_36&otracker=search&otracker1=search&fm=organic&iid=775d28b7-12ad-4022-a4b2-d16d268c4111.COMHFT2NY5V7RCMK.SEARCH&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,4.3,67,2025-06-25,No
,,,38960,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-x1504va-nj2324ws-thin-light-laptop/p/itmf40dd3e4553f6?pid=COMH9SJ95TXH5PYE&lid=LSTCOMH9SJ95TXH5PYEOHDDBT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_37&otracker=search&otracker1=search&fm=organic&iid=en_t7BfAD8-Xt8AaKLP-oOSdwmttktSQqIP_z4bOE-mN48DeDW_bO4SlyqmomZErZYJI789XoRL6GrZBCgAf5huivUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,,,2025-06-25,No
,,,13990,https://www.flipkart.com/asus-chromebook-intel-celeron-dual-core-n4500-4-gb-64-gb-emmc-storage-chrome-os-cx1400cka-nk0453/p/itm3cc0cadd59faf?pid=COMGSHM3RGXQ6ZVX&lid=LSTCOMGSHM3RGXQ6ZVXMNXMLN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_38&otracker=search&otracker1=search&fm=organic&iid=en_t7BfAD8-Xt8AaKLP-oOSdwmttktSQqIP_z4bOE-mN48dsN-9Fj1x5d6sECgANMhifgMxMNqzAfnj4ohY5xyluvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,,,2025-06-25,No
,,,32990,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_FkPickId_6bo%2Fb5g&srno=s_2_39&otracker=search&otracker1=search&fm=organic&iid=775d28b7-12ad-4022-a4b2-d16d268c4111.COMH4B6CGTPNVJW9.SEARCH&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,,,2025-06-25,No
